"site","value"
"1",-0.587813742475298
"1",-0.553516822145568
"1",-0.532819404484353
"1",-0.487693818715867
"1",2.03341127223685
"1",2.27818468264651
"1",2.03022703228356
"1",2.23751478800694
"1",-0.557827100803853
"1",-0.598963414783801
"1",-0.310201696704512
"1",-0.217721804596241
"1",-0.731339974322899
"1",-0.291000920392591
"1",-0.400922859568318
"1",0.281251477212414
"1",-0.655580245562214
"1",-0.534775002711785
"1",-0.725669496851227
"1",-0.555811801727246
"1",-0.723104218206695
"1",0.222008125124809
"1",-0.490161957958709
"1",0.00579844232287784
"1",-0.214362986735428
"1",0.221625190744691
"2",-0.701675626455131
"2",-0.681095610411936
"2",-0.711180046240126
"2",-0.728053389509088
"2",-0.677034143060473
"2",-0.70284705909623
"2",-0.475032391882283
"2",-0.478695450881411
"2",2.65934087673903
"2",2.00800354428273
"2",-0.382227879825649
"2",-0.610504087856084
"2",3.36128907442919
"2",2.53423452700034
"2",-0.722065227979056
"2",-0.726401675492686
"2",-0.558612199404529
"2",-0.545622483685467
"3",-0.0218530288124631
"3",-0.152503082566291
"3",-0.588713076887752
"3",-0.630630803164942
"3",-0.354842049632775
"3",-0.44992971510173
"3",-0.528597163737906
"3",-0.604617269520873
"3",0.32966630358468
"3",0.164731567048913
"3",2.80858121384028
"3",1.18638865765482
"3",-0.230158945375908
"3",-0.320705535368892
"3",-0.594401651710016
"3",-0.385013335523664
"3",0.889333725289892
"3",0.908579351628032
"3",-0.62856856487578
"3",-0.508727052997576
"3",-0.65983275985251
"3",-0.728368315696294
"3",-0.459870218133144
"3",-0.639216231367258
